KEYID,SECTOR,NSTR,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,XFILES,ANUL
23515,F7000,500,328883,,,365300,,694183,114444,,,2018
23515,F7000,520,328883,,,,,328883,114444,,,2018
23515,F7000,530,,,,365300,,365300,,,,2018
36825,F7000,400,525100,,,,,525100,,,,2018
36825,F7000,500,4520905,1663651,,242135,1663651,3099389,396827,,,2018
36825,F7000,530,909702,672694,,242135,672694,479143,177315,,,2018
36825,F7000,531,8540,854,,,854,7686,854,,,2018
36825,F7000,540,680000,30556,,,30556,649444,56667,,,2018
36825,F7000,590,2931203,960401,,,960401,1970802,162845,,,2018
47958,F7000,300,1205334,,,56133,,1261467,,,,2018
47958,F7000,400,43962,,,,,43962,,,,2018
47958,F7000,500,421848,135785,,1158938,,1580786,298403,,,2018
47958,F7000,530,421848,135785,,1158938,,1580786,298403,,,2018
54591,F7000,500,251152,17558,,,251152,,,,,2018
54591,F7000,520,251152,17558,,,251152,,,,,2018
65063,F7000,200,172738,36474,,2071121,,2243859,292361,,,2018
65063,F7000,230,172738,36474,,2071121,,2243859,292361,,,2018
65063,F7000,500,4200775,1610551,,1240859,,5441634,2475899,,,2018
65063,F7000,530,2808178,1197923,,1240859,,4049037,1863277,,,2018
65063,F7000,531,1576224,761477,,816861,,2393085,1215707,,,2018
65063,F7000,540,1392597,412628,,,,1392597,612622,,,2018
77020,F7000,200,6000,900,,,,6000,2100,,,2018
77020,F7000,230,6000,900,,,,6000,2100,,,2018
77020,F7000,500,70290,13169,,21499,,91789,33618,,,2018
77020,F7000,590,70290,13169,,21499,,91789,33618,,,2018
102580,F7000,400,69869,,,,,69869,,,,2018
102580,F7000,500,766625,432168,,1945751,,2712376,527396,,,2018
102580,F7000,530,766625,432168,,1945751,,2712376,527396,,,2018
102640,F7000,500,4903467,1711077,,368000,,5271467,2348490,,,2018
102640,F7000,530,4893412,1704780,,368000,,5261412,2340279,,,2018
102640,F7000,531,9983,7429,,,,9983,9983,,,2018
102640,F7000,540,10055,6297,,,,10055,8211,,,2018
104389,F7000,300,738163,,,194245,,932408,17761,,,2018
