KEYID,SECTOR,NSTR,TARA,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,XFILES,ANUL
41036033,F9100,060,,1297985,285975,,6555,1590515,1590515,1590515,1590515,,2018
41036033,F9100,090,,1297985,285975,,6555,1590515,1590515,1590515,1590515,,2018
41036033,F9100,090,840,1297985,285975,,6555,1590515,1590515,1590515,1590515,,2018
40956300,F9100,090,,21625923,,,1467316,23093239,23093239,23093239,23093239,,2018
40956300,F9100,090,196,21625923,,,1467316,23093239,23093239,23093239,23093239,,2018
40956300,F9100,060,,21625923,,,1467316,23093239,23093239,23093239,23093239,,2018
40463508,F9100,060,,4690518,,,-241620,4448898,4448898,4448898,4448898,,2018
40463508,F9100,070,,4690518,,,-241620,4448898,4448898,4448898,4448898,,2018
40463508,F9100,070,196,4690518,,,-241620,4448898,4448898,4448898,4448898,,2018
41140747,F9100,060,,20657696,138283,3380316,,17415663,17415663,17415663,17415663,,2018
41140747,F9100,090,,20657696,138283,3380316,,17415663,17415663,17415663,17415663,,2018
41140747,F9100,090,792,20657696,138283,3380316,,17415663,17415663,17415663,17415663,,2018
40729053,F9100,060,,1113212,,,,1113212,1113212,1113212,1113212,,2018
40729053,F9100,070,,1113212,,,,1113212,1113212,1113212,1113212,,2018
40729053,F9100,070,380,1113212,,,,1113212,1113212,1113212,1113212,,2018
41144596,F9100,060,,1641242,2339314,,-193641,3786915,3786915,3786915,3786915,,2018
41144596,F9100,100,,1641242,2339314,,-193641,3786915,3786915,3786915,3786915,,2018
41144596,F9100,100,250,1641242,2339314,,-193641,3786915,3786915,3786915,3786915,,2018
40857609,F9100,010,,,198170,,-12719,185451,185451,185451,185451,,2018
40857609,F9100,040,,,198170,,-12719,185451,185451,185451,185451,,2018
40857609,F9100,040,528,,198170,,-12719,185451,185451,185451,185451,,2018
40340792,F9100,060,,513006,,,-170152,342854,342854,342854,342854,,2018
40340792,F9100,090,,513006,,,-170152,342854,342854,342854,342854,,2018
40340792,F9100,090,840,513006,,,-170152,342854,342854,342854,342854,,2018
40916944,F9100,060,,599248,276450,,,875698,875698,875698,875698,,2018
40916944,F9100,070,,599248,276450,,,875698,875698,875698,875698,,2018
40916944,F9100,070,642,599248,276450,,,875698,875698,875698,875698,,2018
40464117,F9100,060,,10409049,,,-453237,9955812,9955812,9955812,9955812,,2018
40464117,F9100,090,,10409049,,,-453237,9955812,9955812,9955812,9955812,,2018
40464117,F9100,090,804,10409049,,,-453237,9955812,9955812,9955812,9955812,,2018
40571391,F9100,060,,0,0,0,,0,0,0,0,,2018
40571391,F9100,050,,0,0,,,0,0,0,0,,2018
40571391,F9100,040,,0,0,,,0,0,0,0,,2018
40571391,F9100,030,,0,0,,,0,0,0,0,,2018
40571391,F9100,020,,0,0,0,,0,0,0,0,,2018
40571391,F9100,010,,0,0,0,,0,0,0,0,,2018
38748994,F9100,080,,0,0,0,0,0,0,0,0,,2018
38748994,F9100,070,,0,0,0,0,0,0,0,0,,2018
38748994,F9100,060,,0,0,0,0,0,0,0,0,,2018
38748994,F9100,030,,0,0,0,0,0,0,0,0,,2018
38748994,F9100,020,,0,0,0,0,0,0,0,0,,2018
38748994,F9100,010,,0,0,0,0,0,0,0,0,,2018
38866179,F9100,070,,0,0,0,0,0,0,0,0,,2018
38866179,F9100,060,,0,0,0,0,0,0,0,0,,2018
38866179,F9100,010,,0,0,0,0,0,0,0,0,,2018
40786192,F9100,090,,7239061,1274077,,-255231,8257907,8257907,8257907,8257907,,2018
40786192,F9100,090,642,7239061,1274077,,-255231,8257907,8257907,8257907,8257907,,2018
40786192,F9100,070,,0,0,0,0,0,0,0,0,,2018
40786192,F9100,060,,7239061,1274077,0,-255231,8257907,8257907,8257907,8257907,,2018
40786192,F9100,010,,0,0,0,0,0,0,0,0,,2018
40150778,F9100,090,,,73041,,-2765,70276,70276,70276,70276,,2018
40150778,F9100,090,642,,73041,,-2765,70276,70276,70276,70276,,2018
40150778,F9100,070,,,0,,0,0,0,0,0,,2018
40150778,F9100,070,642,,,,,0,0,0,0,,2018
40150778,F9100,060,,,73041,,-2765,70276,70276,70276,70276,,2018
40150778,F9100,010,,,0,,0,0,0,0,0,,2018
41160678,F9100,060,,0,0,0,0,0,0,0,0,,2018
41160678,F9100,030,,0,0,0,0,0,0,0,0,,2018
41160678,F9100,010,,0,0,0,0,0,0,0,0,,2018
40304862,F9100,100,,0,0,0,0,0,0,0,0,,2018
40304862,F9100,060,,0,0,0,0,0,0,0,0,,2018
40304862,F9100,020,,0,0,0,0,0,0,0,0,,2018
